subject,idna_subject,expiration_date,epoch
1-1ads.com,1-1ads.com,20-jul-2021,1626739200.0
101order.com,101order.com,14-aug-2021,1628899200.0
123freeavatars.com,123freeavatars.com,15-jun-2021,1623715200.0
180searchassistant.com,180searchassistant.com,11-mar-2021,1615420800.0
1rx.io,1rx.io,28-may-2022,1653696000.0
207.net,207.net,10-jul-2021,1625875200.0
24log.com,24log.com,26-may-2022,1653523200.0
24pm-affiliation.com,24pm-affiliation.com,25-jun-2021,1624579200.0
2mdn.net,2mdn.net,02-may-2021,1619913600.0
30ads.com,30ads.com,24-apr-2021,1619222400.0
360yield.com,360yield.com,02-jun-2021,1622592000.0
4affiliate.net,4affiliate.net,18-jun-2021,1623974400.0
4d5.net,4d5.net,01-jun-2021,1622505600.0
4info.com,4info.com,28-aug-2023,1693180800.0
50websads.com,50websads.com,05-may-2021,1620172800.0
518ad.com,518ad.com,05-mar-2025,1741132800.0
51yes.com,51yes.com,24-nov-2026,1795478400.0
5mcwl.pw,5mcwl.pw,14-apr-2021,1618358400.0
77tracking.com,77tracking.com,07-apr-2021,1617753600.0
7bpeople.com,7bpeople.com,07-aug-2022,1659830400.0
7search.com,7search.com,25-may-2021,1621900800.0
99count.com,99count.com,18-apr-2021,1618704000.0
abandonedaction.com,abandonedaction.com,17-aug-2021,1629158400.0
abashedangle.com,abashedangle.com,17-aug-2021,1629158400.0
abruptroad.com,abruptroad.com,21-mar-2021,1616284800.0
absoluteclickscom.com,absoluteclickscom.com,10-apr-2021,1618012800.0
absorbingband.com,absorbingband.com,05-oct-2021,1633392000.0
abtasty.com,abtasty.com,09-aug-2021,1628467200.0
acid-adserver.click,acid-adserver.click,22-jun-2021,1624320000.0
actionsplash.com,actionsplash.com,13-jun-2021,1623542400.0
actuallysheep.com,actuallysheep.com,21-mar-2021,1616284800.0
acuityads.com,acuityads.com,25-sep-2021,1632528000.0
acuityplatform.com,acuityplatform.com,27-may-2022,1653609600.0
ad-balancer.net,ad-balancer.net,20-may-2021,1621468800.0
ad-delivery.net,ad-delivery.net,03-may-2021,1620000000.0
ad-rotator.com,ad-rotator.com,27-jun-2027,1814054400.0
ad-score.com,ad-score.com,01-aug-2027,1817078400.0
ad-space.net,ad-space.net,15-jun-2021,1623715200.0
ad-tech.com,ad-tech.com,20-may-2021,1621468800.0
ad-up.com,ad-up.com,11-jul-2022,1657497600.0
ad4game.com,ad4game.com,12-may-2021,1620777600.0
ad4mat.com,ad4mat.com,03-mar-2021,1614729600.0
adadvisor.net,adadvisor.net,08-apr-2024,1712534400.0
adaranth.com,adaranth.com,05-mar-2021,1614902400.0
adback.co,adback.co,04-nov-2022,1667520000.0
adblade.com,adblade.com,30-oct-2021,1635552000.0
adblade.org,adblade.org,16-aug-2021,1629072000.0
adbooth.net,adbooth.net,23-mar-2023,1679529600.0
adbrite.com,adbrite.com,16-jun-2021,1623801600.0
adbrn.com,adbrn.com,21-aug-2021,1629504000.0
adbunker.com,adbunker.com,06-mar-2021,1614988800.0
adbutler.com,adbutler.com,16-mar-2023,1678924800.0
adcampo.com,adcampo.com,25-aug-2021,1629849600.0
adcenter.net,adcenter.net,30-mar-2021,1617062400.0
adcolony.com,adcolony.com,07-aug-2021,1628294400.0
adcontrolsolutions.net,adcontrolsolutions.net,26-jun-2021,1624665600.0
addfreestats.com,addfreestats.com,21-aug-2021,1629504000.0
addme.com,addme.com,28-jul-2024,1722124800.0
ademails.com,ademails.com,29-jul-2022,1659052800.0
adengage.com,adengage.com,19-mar-2021,1616112000.0
adexc.net,adexc.net,07-aug-2021,1628294400.0
adexchangegate.com,adexchangegate.com,27-apr-2021,1619481600.0
adexchangeprediction.com,adexchangeprediction.com,27-apr-2021,1619481600.0
adexpose.com,adexpose.com,09-aug-2021,1628467200.0
adforce.com,adforce.com,02-aug-2022,1659398400.0
adform.com,adform.com,16-jul-2023,1689465600.0
adform.net,adform.net,23-sep-2023,1695427200.0
adformdsp.net,adformdsp.net,02-aug-2023,1690934400.0
adgoto.com,adgoto.com,16-apr-2021,1618531200.0
adhese.com,adhese.com,04-apr-2025,1743724800.0
adhigh.net,adhigh.net,15-oct-2024,1728950400.0
adisfy.com,adisfy.com,31-jul-2021,1627689600.0
adition.com,adition.com,30-may-2021,1622332800.0
adition.net,adition.net,18-jul-2021,1626566400.0
adizio.com,adizio.com,26-mar-2021,1616716800.0
adjug.com,adjug.com,14-aug-2024,1723593600.0
adjustnetwork.com,adjustnetwork.com,18-apr-2021,1618704000.0
adland.ru,adland.ru,21-may-2021,1621555200.0
adlegend.com,adlegend.com,18-apr-2021,1618704000.0
adloox.com,adloox.com,25-feb-2022,1645747200.0
adlooxtracking.com,adlooxtracking.com,18-aug-2021,1629244800.0
adlure.net,adlure.net,10-apr-2021,1618012800.0
admagnet.net,admagnet.net,27-oct-2023,1698364800.0
admailtiser.com,admailtiser.com,25-oct-2022,1666656000.0
admanmedia.com,admanmedia.com,02-sep-2021,1630540800.0
admantx.com,admantx.com,09-apr-2022,1649462400.0
admarketplace.net,admarketplace.net,11-oct-2021,1633910400.0
admarvel.com,admarvel.com,02-nov-2023,1698883200.0
admedia.com,admedia.com,27-apr-2021,1619481600.0
admeld.com,admeld.com,05-jul-2021,1625443200.0
admeta.com,admeta.com,25-oct-2021,1635120000.0
admixer.net,admixer.net,12-apr-2021,1618185600.0
admized.com,admized.com,28-nov-2022,1669593600.0
adnet.biz,adnet.biz,26-mar-2021,1616716800.0
adnet.ru,adnet.ru,17-may-2021,1621209600.0
adnetworkperformance.com,adnetworkperformance.com,27-apr-2021,1619481600.0
adnium.com,adnium.com,17-jun-2026,1781654400.0
adnotch.com,adnotch.com,23-apr-2021,1619136000.0
adnxs.com,adnxs.com,27-may-2022,1653609600.0
adocean.pl,adocean.pl,18-mar-2021,1616025600.0
adonspot.com,adonspot.com,24-apr-2021,1619222400.0
adoric-om.com,adoric-om.com,30-may-2027,1811635200.0
adpepper.dk,adpepper.dk,31-mar-2021,1617148800.0
adplus.co.id,adplus.co.id,25-apr-2021,1619308800.0
adplxmd.com,adplxmd.com,09-may-2021,1620518400.0
adprofile.net,adprofile.net,17-jun-2021,1623888000.0
adprofits.ru,adprofits.ru,26-apr-2021,1619395200.0
adrazzi.com,adrazzi.com,21-jun-2021,1624233600.0
adreactor.com,adreactor.com,12-aug-2021,1628726400.0
adreclaim.com,adreclaim.com,26-jul-2021,1627257600.0
adrecover.com,adrecover.com,06-may-2025,1746489600.0
adrevolver.com,adrevolver.com,24-jul-2021,1627084800.0
adrta.com,adrta.com,22-jun-2023,1687392000.0
ads-giris.com,ads-giris.com,15-apr-2021,1618444800.0
ads-software.net,ads-software.net,23-apr-2021,1619136000.0
ads-twitter.com,ads-twitter.com,26-may-2022,1653523200.0
ads.biz.tr,ads.biz.tr,16-apr-2021,1618531200.0
ads.cc,ads.cc,13-jun-2021,1623542400.0
ads1-adnow.com,ads1-adnow.com,03-mar-2021,1614729600.0
ads3-adnow.com,ads3-adnow.com,03-mar-2021,1614729600.0
ads8.com,ads8.com,14-aug-2021,1628899200.0
adsafeprotected.com,adsafeprotected.com,01-apr-2023,1680307200.0
adsclicktech.com,adsclicktech.com,03-jul-2021,1625270400.0
adsco.re,adsco.re,14-feb-2027,1802563200.0
adsdaq.com,adsdaq.com,12-aug-2021,1628726400.0
adserve.io,adserve.io,04-jun-2021,1622764800.0
adserver.mobi,adserver.mobi,05-jul-2021,1625443200.0
adserver.pl,adserver.pl,20-sep-2021,1632096000.0
adservern2.host,adservern2.host,15-jul-2021,1626307200.0
adserverplus.com,adserverplus.com,12-oct-2022,1665532800.0
adservingfront.com,adservingfront.com,16-apr-2022,1650067200.0
adsfac.us,adsfac.us,21-aug-2021,1629504000.0
adskeeper.co.uk,adskeeper.co.uk,16-may-2021,1621123200.0
adsmart.com,adsmart.com,08-apr-2021,1617840000.0
adsmart.net,adsmart.net,24-jun-2021,1624492800.0
adsmogo.com,adsmogo.com,02-apr-2022,1648857600.0
adsnative.com,adsnative.com,21-jun-2021,1624233600.0
adspeed.net,adspeed.net,17-apr-2027,1807920000.0
adspsp.com,adspsp.com,04-apr-2021,1617494400.0
adsroller.com,adsroller.com,08-apr-2021,1617840000.0
adsrvr.org,adsrvr.org,29-mar-2021,1616976000.0
adsrvus.com,adsrvus.com,31-mar-2021,1617148800.0
adsrvx.com,adsrvx.com,04-apr-2021,1617494400.0
adstacks.in,adstacks.in,16-oct-2021,1634342400.0
adsupply.com,adsupply.com,13-aug-2021,1628812800.0
adswizz.com,adswizz.com,19-nov-2027,1826582400.0
adsxyz.com,adsxyz.com,13-jul-2021,1626134400.0
adsymptotic.com,adsymptotic.com,09-sep-2023,1694217600.0
adtech-digital.ru,adtech-digital.ru,05-aug-2021,1628121600.0
adtech.com,adtech.com,26-jul-2021,1627257600.0
adtechjp.com,adtechjp.com,21-mar-2021,1616284800.0
adtechus.com,adtechus.com,26-oct-2021,1635206400.0
adtegrity.net,adtegrity.net,24-sep-2021,1632441600.0
adthrive.com,adthrive.com,14-feb-2024,1707868800.0
adtilt.com,adtilt.com,07-aug-2021,1628294400.0
adtng.com,adtng.com,20-jul-2021,1626739200.0
adtology.com,adtology.com,22-may-2021,1621641600.0
adtoma.com,adtoma.com,19-may-2021,1621382400.0
adtrak.net,adtrak.net,30-mar-2021,1617062400.0
adultadvertising.com,adultadvertising.com,10-aug-2021,1628553600.0
adv-adserver.com,adv-adserver.com,17-jun-2021,1623888000.0
advangelists.com,advangelists.com,24-nov-2021,1637712000.0
advariant.com,advariant.com,03-aug-2021,1627948800.0
advertise.com,advertise.com,26-oct-2025,1761436800.0
advertiseireland.com,advertiseireland.com,31-mar-2021,1617148800.0
advertising.com,advertising.com,04-jan-2022,1641254400.0
advertisingbanners.com,advertisingbanners.com,16-apr-2021,1618531200.0
advertisingtag.net,advertisingtag.net,06-jul-2021,1625529600.0
advertmarket.com,advertmarket.com,26-aug-2021,1629936000.0
advertserve.com,advertserve.com,11-feb-2023,1676073600.0
advisormedia.cz,advisormedia.cz,05-apr-2021,1617580800.0
adviva.net,adviva.net,15-aug-2021,1628985600.0
advnt.com,advnt.com,25-jul-2021,1627171200.0
adwhirl.com,adwhirl.com,19-apr-2021,1618790400.0
adxpose.com,adxpose.com,07-apr-2021,1617753600.0
adyea.com,adyea.com,25-may-2021,1621900800.0
adz2you.com,adz2you.com,10-jun-2021,1623283200.0
adzbazar.com,adzbazar.com,23-may-2021,1621728000.0
